Name,NAICS Code Description,NAICS Code,Facility Type,Excess Food (tons per year),ReceivedFood_TonYear,Address,City,County,GNIS,State,Zip Code,Phone Number,Website,Latitude,Longitude,Unique Identifier
Terre Haute Catholic Charities Foodbank,Food Banks,624210,Food Bank,32.831,1489.543,1356 Locust Street,Terre Haute,Vigo County,00450398,IN,47807,(812) 235-3424 / (812) 232-1447,http://www.archindy.org/cc/terrehaute/programs-foodbank.html,39.477569,-87.395761,FB072
Food Bank of Northern Indiana,Food Banks,624210,Food Bank,,,702 South Chapin Street,South Bend,St. Joseph County,00452855,IN,46601,574-232-9986,http://www.feedindiana.org,41.667699,-86.261238,FB073
Hoosier Hills Food Bank,Food Banks,624210,Food Bank,94.539,1956.544,2333 West Industrial Park Drive,Bloomington,Monroe County,00451680,IN,47404,812-334-8374,http://www.hhfoodbank.org,39.175246,-86.565291,FB074
Food Finders Food Bank,Food Banks,624210,Food Bank,,,50 Olympia Ct.,Lafayette,Tippecanoe County,00450393,IN,47909,765-471-0062,http://www.food-finders.org,40.377964,-86.861153,FB075
Kansas Food Bank,Food Banks,624210,Food Bank,48.752,6791.7755,1919 E. Douglas,Wichita,Sedgwick County,00485049,KS,67211,316-265-3663,http://www.kansasfoodbank.org,37.686161,-97.314462,FB076
Dare to Care Food Bank,Food Banks,624210,Food Bank,228.608,9379.1815,PO Box 35458,Louisville,Jefferson County,00516902,KY,40213,502-966-3821,http://www.daretocare.org,38.196874,-85.697258,FB077
Feedingamericakentuckysheartland,Food Banks,624210,Food Bank,66.7335,6795.0835,"313 Peterson Dr.,",Elizabethtown,Hardin County,00516893,KY,42701,270-769-6997,http://www.feedingamericaky.org,37.684779,-85.906585,FB078
God's Pantry Food Bank,Food Banks,624210,Food Bank,,,1685 Jaggie Fox Way,Lexington,Fayette County,00516880,KY,40511,859-255-6592,http://www.godspantry.org,38.085315,-84.517496,FB079
Food Bank of Northeast Arkansas,Food Banks,624210,Food Bank,16.843,3672.014,P.O. Box 2097,Jonesboro,Craighead County,00066847,AR,72401,870-932-3663,http://www.foodbankofnea.org,35.818553,-90.651351,FB08
Second Harvest Food Bank of New Orleans,Food Banks,624210,Food Bank,176.5165,12677.777,700 Edwards Avenue,New Orleans,Jefferson Parish,00558027,LA,70123,504-734-1322,http://www.no-hunger.org,29.95218,-90.191851,FB080
Food Bank of Central Louisiana,Food Banks,624210,Food Bank,39.962,3250.9535,3223 Baldwin Avenue,Alexandria,Rapides Parish,00559460,LA,71301,318-445-2773,http://www.fbcenla.org,31.270228,-92.452619,FB081
Greater Baton Rouge Food Bank,Food Banks,624210,Food Bank,290.682,5748.8805,10600 S. Choctaw Drive,Baton Rouge,East Baton Rouge Parish,00558530,LA,70815,225-359-9940,http://www.brfoodbank.org,30.4722,-91.066492,FB082
Food Bank of Northwest LA,Food Banks,624210,Food Bank,59.408,3845.4945,2307 Texas Avenue,Shreveport,Caddo Parish,00558458,LA,71103,318-675-2400,http://www.foodbanknla.org,32.489171,-93.76695,FB083
The Food Bank of Northeast Louisiana,Food Banks,624210,Food Bank,84.1175,2953.522,4600 Central Ave,Monroe,Ouachita Parish,00558114,LA,71203,318-322-3567,http://www.fbnela.org,32.512603,-92.061044,FB084
The Greater Boston Food Bank,Food Banks,624210,Food Bank,763.9225,24825.32,70 South Bay Ave,Boston,Suffolk County,00606939,MA,02118,617-427-5200,http://www.gbfb.org,42.333747,-71.065576,FB085
The Food Bank of Western Massachusetts,Food Banks,624210,Food Bank,108.417,4402.6155,97 North Hatfield Road,Hatfield,Hampshire County,00606934,MA,01038,413-247-9738,http://www.foodbankwma.org,42.398163,-72.6145,FB086
Worcester County Food Bank,Food Banks,624210,Food Bank,188.58,2910.464,474 Boston Turnpike,Shrewsbury,Worcester County,00606940,MA,01545,508-842-3663,http://www.foodbank.org,42.276432,-71.72129,FB087
Maryland Food Bank,Food Banks,624210,Food Bank,787.077,22090.8165,2200 Halethorpe Farms Road,Baltimore,Baltimore County,01695314,MD,21227,410-737-8282,http://www.mdfoodbank.org,39.227446,-76.685462,FB088
Good Shepherd Food Bank,Food Banks,624210,Food Bank,748.095,10324.667,3121 Hotel Road/ PO Box 1807,Auburn,Androscoggin County,00581286,ME,04210,207-782-3554,http://www.gsfb.org,44.030175,-70.287344,FB089
Harvest Texarkana Regional Food Bank,Food Banks,624210,Food Bank,26.9285,1062.0245,3120 East 19th Street,Texarkana,Miller County,00069166,AR,71854,870-774-1398,http://www.harvesttexarkana.org,33.440564,-94.009003,FB09
Gleaners Community Food Bank of Southeastern Michigan,Food Banks,624210,Food Bank,515.954,19159.3865,2131 Beaufait Street,Detroit,Wayne County,01623022,MI,48207,313-923-3535,http://www.gcfb.org,42.354141,-83.013729,FB090
Food Bank of Eastern Michigan,Food Banks,624210,Food Bank,150.236,12000.437,2312 Lapeer Road,Flint,Genesee County,01622967,MI,48503,810-239-4441,http://www.fbem.org,43.009362,-83.664741,FB091
Feeding America West Michigan Food Bank,Food Banks,624210,Food Bank,697.6245,15608.205,864 West River Center Drive,Comstock Park,Kent County,01622983,MI,49321,616-784-3250,http://www.FeedingAmericaWestMichigan.org,43.048947,-85.65067,FB092
Food Bank of South Central Michigan,Food Banks,624210,Food Bank,151.949,6668.199,5451 Wayne Road,Battle Creek,Calhoun County,01622955,MI,49037,269-964-3663,http://www.foodbankofscm.org,42.335852,-85.288498,FB093
Greater Lansing Food Bank,Food Banks,624210,Food Bank,145.6795,4059.584,919 Filley St.,Lansing,Ingham County,01622975,MI,48906,517-853-7800,http://www.greaterlansingfoodbank.org,42.762534,-84.564233,FB094
Food Gatherers,Food Banks,624210,Food Bank,332.0145,3215.983,1 Carrot Way Zip 48105,Ann Arbor,Washtenaw County,01623021,MI,48105,734-761-2796,http://www.foodgatherers.org,42.316737,-83.727198,FB095
Forgotten Harvest,Food Banks,624210,Food Bank,,,21800 Greenfield Road,Oak Park,Oakland County,01623005,MI,48237,248-967-1500,http://www.forgottenharvest.org,42.45428,-83.200764,FB096
Second Harvest Heartland,Food Banks,624210,Food Bank,1403.5445,46365.682,1140 Gervais Avenue,Maplewood,Ramsey County,00659507,MN,55109,651-484-5117,http://www.2harvest.org,45.013652,-93.052041,FB097
North Country Food Bank,Food Banks,624210,Food Bank,17.0305,2885.4715,424 North Broadway,Crookston,Polk County,00659505,MN,56716,218-281-7356,http://northcountryfoodbank.org,47.777248,-96.604084,FB098
Second Harvest North Central Food Bank,Food Banks,624210,Food Bank,19.7065,2407.1135,2222 Cromell Drive,Grand Rapids,Itasca County,00659476,MN,55744,218-326-4420,http://www.secondharvestncfb.com,47.224718,-93.493111,FB099
