Name,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Phone,Facility's Website,Unique Identifier,Latitude,Longitude
LMS Organics Processing Facility ,390 San Francisco Drive ,BARRIGADA,,GU,96913,,"Green Waste, Untreated Wood",https://www.lmsgu.com/services,,,CMP2022980,13.45397253,144.8019363
Knox Ridge Holstein Farm,39 Maple Ln,Knox,Waldo County,ME,04986,,manure,https://www.maine.gov/dep/ftp/reports/fish-and-food-compost.pdf,,,CMP20221504,44.540613,-69.261975
City Of Iowa City Sanitary Landfill,3900 Hebl Ave,Iowa City,Johnson County,IA,52240,Yes,"food scraps, yard trimmings, paper towels & napkins",https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,319-356-5185,https://www.icgov.org/foodwaste,CMP20221247,41.649624,-91.6271505
St. Louis Composting Inc.,39 Old Elam Avenue,Valley Park,St. Louis County,MO,63088,Yes,"yard waste, green waste, clean wood, animal bedding, waxed cardboard; source-separated food waste (no meat)",https://www.stlcompost.com/,636.861.3344,https://www.totalorganicsrecycling.com/what-can-i-compost,CMP20222163,38.54376,-90.496683
LIVING EARTH,3901 HAYNES RD,ROANOKE,Denton County,TX,76262,,"clean wood materials, yard trimmings, vegetative materials, manure, brush",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,https://www.livingearth.net/green-recycling/,CMP20223362,33.040143,-97.195014
Recology Blossom Valley Organics N Verna,3909 Gaffery Road,Vernalis,Stanislaus County,CA,95385,Yes,"Composting Facility (Mixed) - food waste, yard waste",https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022358,37.5946683,-121.3161482
Duncan Family Farms,3901 Bell Rd.,New Cuyama,Santa Barbara County,CA,93254,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022186,34.92208222,-119.6574123
Cleveland Metroparks Compost,3900 Brookside Dr,Cleveland,Cuyahoga County,OH,44109,,"Manure, animals, yard waste",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(216) 661-6500,,CMP20222838,41.4437985,-81.71437493
Janesville Compost Site,39260 30th St,Janesville,Waseca County,MN,56048,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(507) 420-9668,https://www.janesvillemn.gov/index.asp?SEC=B6A8FEBE-5923-4DC5-9503-90A2CBA8E222&Type=B_BASIC,CMP20222003,44.12918568,-93.70783302
Baker Sanitary LF Compost,39144 W SUTTON CREEK RD,BAKER CITY,Baker County,OR,97814,Yes,"yard waste, food waste",https://www.deq.state.or.us/lq/sw/disposal/permittedfacilities.htm,(541) 523-2626,,CMP20223004,44.705673,-117.7812765
Black Dirt Farm,393 Stannard Mountain Rd,Greensboro Bend,Caledonia County,VT,05842,Yes,"food waste, manure, hay, sawdust, wood chips, paper products, nitre",,802-533-7033,https://www.blackdirtfarm.com/,CMP20223470,44.548155,-72.2314215
Rodoni Farms Agricultural Composting Op.,395 Dimeo Lane,Santa Cruz,Santa Cruz County,CA,95060,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022373,36.969435,-122.1064785
VanZelst Landscape Development,39400 N HWY #41,WADSWORTH,Lake County,IL,60083,,,https://www2.illinois.gov/epa/topics/waste-management/permitted-facilities/Pages/compost-facilities.aspx,(847) 623-3580,,CMP20221067,42.433938,-87.938856
South Jersey Agricultural Products,395 Route 77,Elmer,Salem County,NJ,08318,,"Manure, Green Waste",,856 358 0990,https://www.facebook.com/SJAPElmer/,CMP20222307,39.612195,-75.236706
Clearwater Composting,3965 Industrial Way,Lewiston,Nez Perce County,ID,83501,,"Yard waste, biosolids, manure, hay/straw, sawdust, clean wood waste",https://idaho.terradex.com/,208-413-6020,http://moscowrecycling.com/clearwater-composting,CMP20221013,46.417167,-116.9732475
EcoVerde Organics Wright Road,396 Wright Rd,Alabama,Genesee County,NY,14001,Yes,"Food Scraps (no meat or dairy), Horse Manure, Yard Waste, Brush",https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv63,7162093166,https://ecoverdecompost.com/,CMP20222414,43.036254,-78.4486125
Rocky Mount Compost Facility,394 Arrow Road,Rocky Mount,Nash County,NC,27801,,"yard waste, brush, clean wood",https://deq.nc.gov/about/divisions/waste-management/solid-waste-section/solid-waste-facility-lists-presentations-and-annual-reports/solid-waste-facility-lists,(252) 467-4904,,CMP20222617,35.97423031,-77.8907619
"PURPLE BUCKET COMPOST, LLC",397 Chickadee Ln,Bailey,Park County,CO,80421,Yes,food scraps,https://oitco.hylandcloud.com/CDPHERMPop/docpop/docpop.aspx,,,CMP2022476,39.417507,-105.4238265
Mackinac Island Landfill,3967 Dousman St,Mackinac Island,Mackinac County,MI,49757,Yes,"Food waste, yard trimmings, all source-separated food waste (including meat, dairy); agriculture waste, compostable paper, packaging + serviceware; pre- and post- consumer food waste",,,https://www.cityofmi.org/trash-on-mackinac-52/,CMP20221889,45.87012559,-84.62778067
Wilmington Sanitary Landfill,397 S Nelson Ave,Wilmington,Clinton County,OH,45177,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222839,39.439251,-83.8526265
Salton City Compost,395 W. Highway 86,Salton City,Imperial County,CA,92275,Yes,Vegetative Food Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022379,33.257485,-115.9446677
DUNCAN FAMILY FARMS - TACNA AZ COMPOST SITE,39745 E COUNTY 8TH ST,Wellton,Yuma County,AZ,85356,,"green waste, manure",https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,623.935.5319,https://duncanfamilyfarms.com/how-we-grow/innovative-composting,CMP202238,32.70810255,-113.957723
Manchester-Shortsville Composting,3980 NYS Route 96,Manchester,Ontario County,NY,14504,,Biosolids,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv108,5852896018,,CMP20222474,42.974397,-77.2206795
City Of Norman Yard Waste Compost Facility,398 Bratcher Miner Road,Norman,Cleveland County,OK,73026,,yard waste ,https://www.deq.ok.gov/wp-content/uploads/land-division/active_waste_facilities.pdf,405-329-8583,https://www.normanok.gov/your-government/departments/utilities/sanitation/compost-facility,CMP20222987,35.1735638,-97.44560138
Colonie (T) SWMF,4 Arrowhead Lane,Colonie,Albany County,NY,12047,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv10,5187832827,,CMP20222399,42.801867,-73.730709
Dube Environmental Inc,4 Spruce Trail,Sidney,Kennebec County,ME,04955,,biosolids/septage,https://www.maine.gov/dep/ftp/reports/sludge-compost.pdf,207-839-5563,,CMP20221533,44.403273,-69.798546
Tri-County Organics,40 35th Ave NE,Saint Cloud,Benton County,MN,56304-9404,Yes,"food waste, yard waste",http://www.mncompostingcouncil.org/find-a-compost-site.html,(320) 493-3270,http://www.tri-countyorganics.com/services.html,CMP20222087,45.569475,-94.0874175
"RER Supply, LLC (McGill Environmental)",4 South Corporate Drive,Riverdale,Morris County,NJ,07461,,"Leaves, Grass, Brush, Tree Parts/Limbs, Wood",https://www.nj.gov/dep/dshw/rrtp/classcfbc.html,(973) 831-5807,,CMP20222302,40.985118,-74.2991985
Endicott (V) Biosolids,40 Anson Road,Endicott,Broome County,NY,13760,,"Biosolids, Yard Waste",https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv17,6077572457,,CMP20222416,42.085674,-76.088142
Blackburn Resource Recovery Facility,3993 Rocky Ford Road,Newton,Catawba County,NC,28658,,"yard waste, brush, clean wood",https://deq.nc.gov/about/divisions/waste-management/solid-waste-section/solid-waste-facility-lists-presentations-and-annual-reports/solid-waste-facility-lists,(704) 462-1348,,CMP20222609,35.605791,-81.308367
New Ulm Compost Site,400 21st St N,New Ulm,Brown County,MN,56073,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(507) 354-4171,https://www.ci.new-ulm.mn.us/?SEC=677F06EC-DD7F-4A2C-AB33-4B0C350DFC26,CMP20222034,44.33681168,-94.47869142
Happy Farmland LLC,40 Strawridge Road,Wallkill,Ulster County,NY,12589,,"Source Separated Organic Waste (SSOW), Yard Waste",https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv193,9292648020,,CMP20222442,41.600583,-74.165994
Quogue (V) - Highway Yard,40 Old Country Road,Quogue,Suffolk County,NY,11959,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv169,6316534498,,CMP20222509,40.83759118,-72.60689207
Eastchester Leaf Transfer Station,40 Mill Road,Eastchester,Westchester County,NY,10709,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv209,,,CMP20222412,40.955499,-73.8112095
Caldwell County Recycling Center,400 Eagon St,Princeton,Caldwell County,KY,42445,,,https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,,,CMP20221457,37.11240615,-87.89442008
City Of Fremont,400 E Military Ave,Fremont,Dodge County,NE,68025,,"yard waste, biosolids",http://deq.ne.gov/NDEQProg.nsf/FacilityListView.xsp,402-727-2670,,CMP20222226,41.435955,-96.493086
Glasgow Regional Landfill,400 Glen Garry Rd,Glasgow,Barren County,KY,42141,,,https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,,,CMP20221465,36.98741222,-85.95524918
Big John's Wood and Resources,400 Mount Helm Rd,Brandon,Rankin County,MS,39047,,"Vegetative debris, Untreated wood waste",https://www.mdeq.ms.gov/wp-content/uploads/2021/10/Active-Solid-Waste-Facility-Listing-July-2021.pdf,601-899-2113,,CMP20222143,32.41472904,-89.93121342
Plainview city of,400 S Wabasha,Plainview,Wabasha County,MN,55964,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(507) 534-3701,https://plainviewmn.com/index.asp?SEC=20BD0AF4-5579-43E6-9777-6A8A9578DCEB ,CMP20222047,44.16021874,-92.16704019
Lafayette Consolidated Government - Composting Facility,400 Dugas Rd,Lafayette,Lafayette Parish,LA,70502,,green waste,https://edms.deq.louisiana.gov/edmsv2/ai-lookup-results,(337) 291-5637,https://lafayettela.gov/public-works/composting,CMP20221490,30.286314,-92.061108
Rockland County SWMA Co-Composting Facility,400 Torne Valley Road,Hillburn,Rockland County,NY,10931,,Biosolids;Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv128,8457532314,,CMP20222516,41.14690925,-74.15548708
Washington Recycling Center,400 Recycle Dr,Washington,Franklin County,MO,63090,,yard waste,https://washmo.gov/home-1/city-departments/city-services/recycling-compost/#1607618424850-7d685637-da05,(636) 390-1032,,CMP20222164,38.570364,-91.042947
Sarasota Central Landfill Complex,4000 Knights Trail Rd,Nokomis,Sarasota County,FL,,,yard waste,https://floridaforce.org/facilities/,941-861-1589,,CMP2022783,27.192789,-82.395522
WeCare Denali - Rockland Co,400 Torne Vally Rd,Hillburn,Rockland County,NY,19301,,"Green Waste, Biosolids",,845-753-2314,https://wecarecompost.com/wecare-products/locations/rockland-county-ny/,CMP20222556,41.14690925,-74.15548708
Owatonna Compost Site,400 W 32nd Avenue,Owatonna,Steele County,MN,55060,,yard waste,Minnesota Composting Council,,https://www.owatonna.gov/488/Compost-Information,CMP20222126,44.07919967,-93.2668514
Corso's Perennials,4001 Bardshar Rd,,Erie County,OH,44824,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(800) 535-9420,,CMP20222840,41.392935,-82.7755245
Santa Ynez Valley RTS Composting Op.,4004 Foxen Canyon Rd.,Los Olivos,Santa Barbara County,CA,93441,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022383,34.69505374,-120.1268175
"Biotown, Ag, Inc. / Back 2 Earth",402 West 100 North  ,Reynolds,White County,IN,47980,Yes,"Yard trimmings, Source-separated food waste (vegetative only), Agricultural wastes, Compostable paper, packaging + serviceware; Certified compostable bioplastic packaging + serviceware; Pre-consumer food waste only",https://www.in.gov/idem/waste/files/permits_issued_reg_facilities_composting.pdf,219-984-5915,https://b2eorganicrecycling.com/,CMP20221158,40.760073,-86.880132
CITY OF GRAND LEDGE RECYCLING CENTER,401 WHITNEY ST,GRAND LEDGE,Eaton County,MI,48837,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221859,42.756039,-84.7317105
City of Nashua CF,402 Main St,Nashua,Chickasaw County,IA,50658,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221248,42.951537,-92.5366275
CITY OF LEBANON,404 Main,Lebanon,Smith County,KS,66952,,Yard Waste,KDHE,,,CMP20221375,39.809403,-98.5549275
GEL CORPORATION-JAX,4031 N LIBERTY ST ,JACKSONVILLE ,Duval County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(386) 775-5385 ,,CMP2022784,30.363201,-81.648846
BIOFLORA,4050 S SARIVAL AVE,Goodyear,Maricopa County,AZ,85338,,,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,https://www.bioflora.com/,CMP202237,33.409566,-112.410981
Loyal Cty Compost Site,405 E Central St,Loyal,Clark County,WI,54446,,"YARD, BARK/BRUSH",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=93,7152558617,,CMP20223714,44.7351693,-90.48973893
City of Livingston,406 Bennett Street,Livingston,Park County,MT,59047,,seasonal collection of yard waste,https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,,http://www.livingstonmontana.org/living/public_works_department/green_can_collection.php,CMP20222189,45.675693,-110.5431165
NEW SOUTH REGIONAL PLANT,4000 S STATE LINE AVE,TEXARKANA,Bowie County,TX,75501,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223364,33.37659,-94.0466205
Baraboo Cty Compost Site,407 Briar St,Baraboo,Sauk County,WI,53913,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=194,6083552730,,CMP20223606,43.460208,-89.7328665
City of Tipton CF,407 Lynn St,Tipton,Cedar County,IA,52772,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221249,41.769594,-91.1300625
J&B Composting,4052 State Route 4,Kingsbury,Washington County,NY,12839,,Animal Carcasses;Wood/Brush;Yard Waste;Grass Clippings;Leaves;Mixture of Leaves and Grass,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv202,5187962195,,CMP20222449,43.371891,-73.516131
Dunn Tn,4030 County Road B,Dunn,Dane County,WI,53558,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=200,6088381081,,CMP20223659,42.96850652,-89.31331532
Fort Riley,407 Pershing Ct,Fort Rile,Geary County,KS,66442,,Yard Waste,KDHE,7852392385,,CMP20221376,39.06582421,-96.77934608
Reidsville Yard Waste & Material Recovery Facility,407 Broad Street,Reidsville,Rockingham County,NC,27320,,"yard waste, brush, clean wood",https://deq.nc.gov/about/divisions/waste-management/solid-waste-section/solid-waste-facility-lists-presentations-and-annual-reports/solid-waste-facility-lists,(336) 349-1074,,CMP20222616,36.32256,-79.657983
City of Port Orange Public Works,407 Virginia Avenue,Port Orange,Volusia County,FL,,,yard waste,https://floridaforce.org/facilities/,386-506-5575,,CMP2022785,29.135448,-80.98857
Always Something Farm,407 NH Route 10,Newport,Sullivan County,NH,03773,Yes,"food waste (no meat or dairy), leaf and yard debris, clean wood",http://anrmaps.vermont.gov/websites/Organics/default.html,,,CMP20222273,43.34211643,-72.16559311
Greener Pastures Composting,4070 Stiver Hill Road,Branchport,Yates County,NY,14418,,Source Separated Organic Waste (SSOW);Yard Waste;Animal Carcasses,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv220,,,CMP20222431,42.58403439,-77.17555299
Long Island Compost Farm #28,407 Wading River Road,Riverhead,Suffolk County,NY,11949,,Yard Waste;Source Separated Organic Waste (SSOW),https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv171,,,CMP20222468,40.83597605,-72.81005187
Valders Recycling Center,409 W Wilson St,Valders,Manitowoc County,WI,54245,,"YARD, BARK/BRUSH",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=131,9206294970,,CMP20223806,44.069085,-87.8900265
Kenosha Cty - Compost Facility,4071 88th Ave,Kenosha,Kenosha County,WI,53142,,"BARK/BRUSH, YARD",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=256,2626534156,,CMP20223697,42.600276,-87.913962
Milton Cty,41 North St,Milton,Rock County,WI,53563,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=87,6088686914,,CMP20223730,42.779718,-88.944498
Sparks Industries,4094 Burnt House Hill Rd,Doylestown,Bucks County,PA,18902,,"green waste, leaves, manure",,,https://www.sparkstopsoil.com/,CMP20223105,40.34554928,-75.10727867
SOUTHWOOD BURN PIT,4101 BILTMORE AVE ,TALLAHASSEE ,Leon County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(850) 727-5310 ,,CMP2022786,30.38765394,-84.20938855
Green Meadows LLC,4083 Middle Country Road,Calverton,Suffolk County,NY,11933,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv140,5168855952,,CMP20222429,40.927623,-72.76380819
Brookings City Landfill,4101 30th St,Brookings,Brookings County,SD,57006,,Yard & tree waste,DANR,,,CMP20223252,44.347842,-96.7331745
LONE STAR RECYCLING & DISPOSAL FACILITY,4107 S SAM HOUSTON PKWY W,HOUSTON,Harris County,TX,77053,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223365,29.591973,-95.43834
Crystal Lake Composting ,410 Main St,Crystal Lake,McHenry County,IL,60012,,,https://www2.illinois.gov/epa/topics/waste-management/permitted-facilities/Pages/compost-facilities.aspx,,,CMP20221031,42.23933782,-88.31594914
ANGELO'S RECYCLED MATERIALS - DADE CITY,41111 ENTERPRISE RD ,DADE CITY ,Pasco County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(727) 242-0291 ,,CMP2022787,28.330443,-82.1343555
Mandan Inert Waste Landfill,4103 County Road 82,MANDAN,Morton County,ND,58554,,,https://deq.nd.gov/Publications/WM/CompostingFacilities.pdf,,https://deq.nd.gov/foia/SolidWaste/ActiveSWLandfills.aspx,CMP20222664,46.82002855,-100.9882823
Koch Supply Company LP,4111 E. 37th Street North,Wichita,Sedgwick County,KS,67220,Yes,"Source-Separated (Food Waste), Yard Waste",KDHE,,,CMP20221377,37.751409,-97.2879795
Village Of Richfield Compost Facility,4128 Hubertus Rd,Hubertus,Washington County,WI,53033,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=233,2626282260,,CMP20223818,43.237035,-88.24365
Atlas Pumping Compost,4124 Broadway Blvd SE,Albuquerque,Bernalillo County,NM,87105,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,505-980-7977,,CMP20222333,35.016345,-106.641702
Washington Composting Facility,413 Clark Rd  ,Washington,Daviess County,IN,47501,,Yard waste,https://www.in.gov/idem/waste/files/permits_issued_reg_facilities_composting.pdf,,,CMP20221182,38.65734,-87.17439
ARIZONA SOILS COMPOST FACILITY,41326 MCVAY RD,Salome,La Paz County,AZ,85348,,"biosolids, green waste, manure, stable bedding, wood chips",https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,https://www.synagro.com/locations/arizona-soils-composting-facility/,CMP202224,33.735393,-113.818545
Hubbard Co Northern Transfer/Demo,41304 US Highway 71,Laporte,Hubbard County,MN,56461,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(218) 224-2100,http://www.co.hubbard.mn.us/departments/public_works/solid_waste/index.php ,CMP20222000,47.257578,-94.874544
Ground-Up Soil Compost Facility,41389 HIGHWAY 226,SCIO,Linn County,OR,97374,,"manure, wood chips, mint straw, mushroom blocks",https://www.deq.state.or.us/lq/sw/disposal/permittedfacilities.htm,503-769-2057,https://groundupsoil.com/,CMP20223020,44.71731,-122.756724
Sudbury Landfill Compost Facility,414 Landfill Rd,Walla Walla,Walla Walla County,WA,99362-0216,,"agricultural organics, manure & bedding, yard debris",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(509) 394-6695,,CMP20223555,46.072908,-118.409292
CITY OF ALMENA,415 Main,Almena,Norton County,KS,67622,,Yard Waste,KDHE,,,CMP20221378,39.893418,-99.7063875
LAND AND LAWN 2,41330 COOK BROWN RD ,PUNTA GORDA ,Charlotte County,FL,33982,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(239) 284-6428 ,,CMP2022788,26.79897489,-81.77169225
City of Reinbeck CF,414 Main St,Reinbeck,Grundy County,IA,50669,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221250,42.32463133,-92.59802428
City of Postville CF,415 Oak Dr,Postville,Allamakee County,IA,52162,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221251,43.082127,-91.5609375
Seabreeze Property Services,415 Presumpscot St,PORTLAND,Cumberland County,ME,04104,,yard waste,https://www.maine.gov/dep/ftp/reports/leaf-and-yard-compost.pdf,,,CMP20221567,43.69602206,-70.25878327
"Tehachapi Recycling, Inc",416 North Dennison Road,Tehachapi,Kern County,CA,93561,,Green Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022408,35.136135,-118.4297085
City of Lewis CF,416 West Main St,Lewis,Cass County,IA,51544,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221252,41.305617,-95.089383
Techni-Comp Compost Facility,4152 Dove Rd,Port Huron Twp,St. Clair County,MI,48060,,,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/MMD/Compost/Registered-Sites.pdf?rev=8dcb1bab0bd74b1c88e655e6b625272a&hash=A751BA25BB64AB6FDA39C53593CDA795,,,CMP20221914,42.95098926,-82.48728607
St. Landry Parish Landfill,417 Solid Waste Rd.,Washington,St. Landry Parish,LA,70589,,"wood waste, yard waste",https://edms.deq.louisiana.gov/app/doc/view?doc=13019967,(337) 826-5211,https://www.slpsolidwaste.org/,CMP20221494,30.68339484,-92.06059089
Creech Services Inc,4172 Hedger Ln,Lexington,Fayette County,KY,40516,,manure,https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,859 255 6315,,CMP20221460,38.0467223,-84.30505397
CITY OF ANN ARBOR COMPOST CENTER,4170 PLATT RD,ANN ARBOR,Washtenaw County,MI,48108,Yes,Food waste,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221829,42.224625,-83.7121455
Sage Ranch,41750 Hwy 79,Aguanga,Riverside County,CA,92536,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022378,33.473376,-116.935128
Full Circle Solutions,41-756 Mahailua St,Waimanolo,Honolulu County,HI,96795,Yes,"food scraps, greenwaste",https://www.fullcirclesolutionshi.com/,(808)291-6099,,CMP20221006,21.338847,-157.7304225
City of Spencer CF,418 2nd Ave W,Spencer,Clay County,IA,51301,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221253,43.141977,-95.147298
Scarborough Sanitary District,415 Black Point Road,"Scarborough, Town of",Cumberland County,ME,04074,,biosolids/septage,https://www.maine.gov/dep/ftp/reports/sludge-compost.pdf,,,CMP20221532,43.548966,-70.315893
Brew City Compost,4180 N 128th St,Brookfield,Waukesha County,WI,53005,,,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=30,4143313289,,CMP20223617,43.093224,-88.070976
Utica Compost,418 Blacksnake Rd,Utica,Licking County,OH,43080,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(614) 892-2696,,CMP20222842,40.22838,-82.447344
Gaumer Landscape Inc,417 State Road,WARREN,Trumbull County,OH,44483,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(330) 847-9688,,CMP20222841,41.285583,-80.85384
Bigfoot Castings,41865 State Highway 299,Willow Creek,Humboldt County,CA,95573,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022132,40.90323044,-123.6103514
Brimfield Aggregate,4200 Sunnybrook Rd,Kent,Portage County,OH,44240,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222843,41.10345,-81.371988
Ovenell Farms Composting Facility ,4201 ROAD P NW,QUINCY,Grant County,WA,98848,,"agricultural waste, manure & bedding, ",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(509) 787-9110,,CMP20223540,47.149596,-119.832192
Keeneland Association Inc,4201 Versailles Rd,Lexington,Fayette County,KY,40588,,,https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,,,CMP20221468,38.045745,-84.6026505
Manitowoc Cnty Yard Waste Compost Site,4189 Woodland Dr,Two Rivers,Manitowoc County,WI,54241,,"YARD, BARK/BRUSH",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=229,9206834054,https://manitowoccountywi.gov/departments/recycling-center/compost/,CMP20223718,44.148573,-87.619581
Lexington Fayette Urban Co Government Landfill,4216 Hedger Ln,Lexington,Fayette County,KY,40516,,,https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,,,CMP20221469,38.04944188,-84.30204067
Rockland County SWMA Hillburn Yardwaste,420 Torne Valley Road,Hillburn,Rockland County,NY,10931,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv129,8457532200,,CMP20222517,41.1476049,-74.15485355
